"Customer.Type","Type.of.Travel","Class","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","satisfaction"
"0","0","2",18,12,"0"
"0","0","1",0,0,"1"
"0","0","0",0,0,"1"
"0","0","1",64,49,"0"
"1","0","0",0,2,"0"
"0","1","1",0,37,"0"
"0","1","2",0,0,"0"
"1","0","0",1,1,"1"
"0","0","0",0,6,"0"
"0","1","2",20,5,"1"
"1","0","2",0,0,"0"
"1","0","0",0,0,"0"
"0","0","0",45,48,"1"
"1","0","2",0,0,"0"
"1","0","0",0,8,"0"
"1","0","0",0,0,"1"
"0","0","0",44,50,"1"
"0","0","1",17,3,"1"
"0","1","1",0,0,"0"
"0","1","2",0,0,"0"
"0","0","0",0,0,"1"
"1","0","2",0,0,"0"
"0","1","2",0,0,"1"
"1","0","0",31,19,"1"
"0","0","0",81,72,"0"
"0","0","1",0,0,"1"
"0","0","2",0,11,"1"
"0","0","2",35,34,"1"
"0","1","2",14,18,"0"
"0","1","0",0,0,"0"
"0","1","1",67,62,"0"
"1","0","0",22,27,"1"
"0","1","2",40,52,"0"
"0","0","0",0,0,"1"
"0","1","2",0,0,"0"
"1","0","1",0,0,"0"
"1","0","0",0,0,"1"
"0","1","2",3,0,"0"
"1","0","2",0,0,"0"
"0","1","2",0,23,"0"
"1","0","2",0,0,"0"
"0","1","2",0,0,"0"
"0","0","0",0,3,"1"
"0","0","0",30,13,"0"
"0","0","0",0,0,"0"
"0","1","2",91,82,"0"
"0","0","0",0,0,"1"
"0","1","2",1,10,"0"
"0","1","2",0,0,"0"
"0","0","0",0,0,"1"
"1","0","2",21,23,"0"
"0","0","0",4,0,"0"
"1","0","2",0,9,"0"
"0","0","2",3,0,"0"
"0","1","2",0,0,"0"
"0","0","0",4,9,"1"
"0","1","2",7,30,"0"
"0","0","0",0,0,"1"
"0","0","0",17,8,"1"
"0","0","1",14,16,"0"
"0","1","2",0,0,"0"
"0","0","2",0,0,"1"
"1","0","0",4,11,"1"
"0","1","2",15,3,"0"
"0","0","0",0,0,"0"
"0","0","0",0,0,"0"
"0","1","2",0,0,"0"
"0","0","0",0,0,"1"
"0","0","0",0,0,"1"
"0","0","0",0,0,"0"
"0","0","0",0,0,"0"
"0","0","0",0,0,"1"
"0","1","2",29,10,"1"
"0","1","2",0,0,"0"
"0","0","0",0,0,"0"
"0","1","0",0,0,"0"
"1","0","2",39,6,"0"
"0","1","2",7,6,"0"
"0","0","0",1,7,"1"
"0","0","0",0,7,"1"
"0","0","0",0,0,"1"
"0","1","0",0,0,"0"
"0","0","0",0,10,"1"
"0","0","0",13,15,"0"
"1","0","0",0,0,"0"
"0","0","2",0,0,"0"
"0","0","0",0,0,"1"
"0","1","2",17,27,"0"
"0","1","2",105,122,"0"
"1","0","2",0,0,"0"
"0","0","0",0,0,"1"
"0","1","2",0,3,"0"
"0","0","0",0,0,"1"
"0","0","0",27,11,"1"
"1","0","2",0,0,"1"
"0","1","2",19,0,"0"
"0","0","0",0,0,"1"
"0","0","1",12,27,"1"
"1","0","2",51,30,"0"
"0","1","2",0,2,"0"
"0","0","2",162,179,"1"
"0","0","2",15,15,"1"
"0","0","0",7,0,"1"
"0","0","0",0,0,"1"
"0","1","2",0,1,"0"
"0","0","0",24,20,"1"
"0","0","0",0,0,"1"
"0","0","0",0,0,"0"
"0","0","0",0,0,"1"
"1","0","0",0,7,"0"
"0","0","0",141,125,"1"
"0","0","0",0,0,"0"
"0","0","2",0,0,"1"
"0","1","2",1,26,"0"
"0","1","2",0,0,"0"
"0","0","0",0,0,"1"
"0","1","2",0,9,"0"
"0","1","2",0,0,"0"
"0","0","0",6,0,"1"
"0","0","2",15,26,"0"
"0","1","0",0,0,"0"
"0","1","2",3,0,"1"
"0","1","2",34,19,"0"
"0","1","2",0,0,"0"
"0","0","2",0,0,"0"
"0","1","2",6,4,"0"
"0","1","2",0,0,"1"
"0","1","2",0,0,"0"
"0","0","0",0,0,"1"
"0","1","2",0,17,"0"
"0","0","0",0,0,"0"
"0","1","0",0,18,"0"
"0","0","0",17,0,"1"
"0","0","0",0,0,"1"
"0","0","2",20,17,"0"
"0","0","0",0,3,"1"
"0","1","2",2,0,"0"
"0","0","2",0,8,"0"
"0","1","2",0,0,"0"
"0","0","0",1,0,"1"
"0","1","2",23,2,"0"
"0","0","0",7,2,"0"
"0","0","0",0,0,"1"
"0","1","2",0,0,"0"
"0","0","0",0,0,"0"
"0","1","2",97,89,"0"
"0","0","0",0,0,"1"
"0","1","2",16,34,"0"
"0","1","2",0,0,"0"
"0","0","1",0,0,"1"
"0","1","1",20,4,"0"
"0","1","2",0,0,"0"
"0","1","2",4,0,"0"
"0","0","0",0,0,"1"
"0","1","2",0,0,"0"
"0","1","2",0,0,"0"
"0","0","0",10,0,"1"
"0","1","2",0,0,"0"
"0","0","0",0,0,"0"
"1","0","0",11,6,"0"
"1","0","2",0,0,"0"
"0","0","0",0,0,"1"
"0","0","0",9,5,"1"
"0","0","0",0,0,"1"
"0","0","0",0,9,"0"
"1","0","0",29,28,"0"
"0","0","0",0,0,"1"
"0","1","2",99,101,"0"
"0","1","1",9,11,"0"
"0","1","2",0,0,"0"
"1","0","2",18,4,"1"
"0","0","2",0,0,"0"
"0","0","0",9,0,"1"
"0","0","0",0,3,"0"
"0","1","2",24,14,"0"
"0","1","0",37,20,"0"
"0","0","0",0,0,"1"
"0","0","0",66,61,"1"
"0","0","0",53,48,"0"
"0","0","1",19,6,"1"
"1","0","2",4,3,"0"
"0","1","2",0,0,"0"
"1","0","2",0,0,"0"
"0","0","2",0,0,"0"
"0","0","0",0,11,"1"
"0","0","0",0,0,"1"
"0","0","0",0,0,"0"
"1","0","2",7,0,"0"
"0","1","2",0,0,"0"
"0","0","1",28,18,"0"
"0","0","2",0,0,"1"
"0","0","0",36,28,"1"
"0","1","2",0,0,"0"
"1","0","0",12,0,"0"
"0","1","0",13,32,"0"
"0","0","0",1,0,"1"
"0","0","2",23,6,"0"
"0","0","0",0,0,"0"
"0","0","0",6,6,"1"
"1","0","0",0,13,"1"
"0","0","2",0,16,"1"
"0","0","0",0,0,"1"
"0","1","2",0,0,"0"
"0","0","0",15,15,"0"
"0","1","2",0,0,"0"
"0","1","2",45,33,"0"
"0","0","0",39,41,"1"
"0","0","0",7,0,"1"
"0","0","2",0,0,"1"
"0","0","0",209,191,"1"
"0","0","0",0,2,"1"
"0","0","0",60,37,"0"
"0","1","2",0,1,"0"
"1","0","2",149,138,"0"
"0","1","2",26,13,"0"
"0","0","2",12,4,"0"
"0","0","0",0,53,"0"
"0","1","1",24,14,"0"
"1","0","0",11,0,"1"
"0","1","2",18,7,"0"
"0","0","2",15,22,"0"
"0","0","1",5,0,"0"
"0","1","2",59,57,"0"
"1","0","0",0,7,"1"
"1","0","1",35,28,"0"
"0","0","0",1,0,"1"
"0","0","0",62,65,"1"
"0","0","0",23,4,"1"
"0","0","1",21,44,"0"
"0","1","2",0,0,"1"
"0","0","2",3,0,"1"
"0","0","0",10,0,"1"
"0","0","0",8,0,"1"
"0","1","2",0,0,"0"
"0","0","0",0,0,"1"
"0","1","2",91,76,"0"
"1","0","2",113,107,"0"
"0","0","0",27,12,"0"
"0","0","2",0,0,"1"
"0","0","0",28,11,"1"
"0","0","0",38,28,"1"
"1","0","0",0,0,"0"
"0","0","0",83,92,"1"
"0","0","0",15,32,"1"
"0","0","0",0,0,"1"
"0","1","1",0,0,"0"
"0","0","0",0,0,"1"
"1","0","2",0,0,"0"
"1","0","0",0,0,"1"
"0","1","2",0,0,"0"
"1","0","0",0,0,"1"
"0","0","0",0,8,"0"
"0","0","0",4,2,"1"
"0","1","2",0,0,"0"
"0","1","2",16,12,"0"
"0","0","0",0,0,"1"
"0","1","2",15,7,"0"
"0","1","2",8,16,"0"
"0","0","0",18,0,"1"
"1","0","2",0,0,"0"
"0","0","0",0,0,"0"
"0","1","2",0,0,"0"
"0","0","0",0,0,"1"
"0","1","1",0,0,"0"
"1","0","0",0,0,"1"
"0","1","2",0,11,"0"
"0","0","2",0,13,"0"
"0","0","2",0,1,"0"
"0","0","0",0,0,"0"
"0","0","2",12,8,"1"
"0","1","2",0,0,"0"
"0","0","0",176,164,"0"
"1","0","2",38,28,"0"
"1","0","0",0,0,"0"
"1","0","0",0,0,"0"
"0","1","0",0,0,"0"
"1","0","2",0,0,"1"
"0","0","0",0,0,"0"
"0","0","0",0,5,"1"
"0","0","0",19,5,"1"
"0","0","0",46,24,"1"
"0","1","2",0,0,"0"
"0","0","0",13,0,"1"
"1","0","1",39,34,"0"
"0","0","0",0,6,"1"
"0","0","0",0,3,"1"
"0","0","2",20,9,"1"
"0","0","0",0,0,"0"
"0","1","2",0,32,"0"
"0","1","2",22,22,"1"
"0","0","2",0,8,"0"
"0","1","2",0,0,"0"
"1","0","2",9,5,"1"
"0","0","0",7,2,"1"
"0","0","0",0,0,"1"
"0","0","2",0,5,"1"
"0","0","0",0,0,"1"
"0","1","2",0,0,"1"
"0","0","0",0,0,"1"
"0","0","0",0,0,"1"
"0","0","0",0,6,"1"
"0","0","0",0,0,"1"
"0","0","0",0,0,"1"
"0","1","2",0,5,"0"
"0","0","0",1,0,"1"
"0","0","0",22,21,"1"
"0","0","1",0,0,"1"
"0","0","2",0,0,"1"
"0","0","0",5,7,"0"
"0","1","2",0,0,"0"
"0","0","0",0,0,"1"
"0","0","0",73,62,"0"
"0","1","2",0,0,"0"
"1","0","0",53,52,"0"
"0","0","0",0,0,"1"
"0","1","2",20,15,"0"
"0","0","0",0,0,"1"
"0","0","0",0,0,"1"
"0","0","0",0,4,"1"
"0","0","0",0,0,"1"
"0","0","0",54,40,"1"
"0","0","0",0,0,"1"
"0","1","2",0,0,"0"
"0","1","2",22,49,"0"
"0","1","2",0,3,"0"
"0","1","2",0,7,"0"
"0","0","0",0,0,"0"
"0","1","2",0,0,"0"
"0","1","2",1,4,"0"
"0","0","0",0,0,"1"
"0","1","2",1,0,"0"
"0","0","0",0,0,"1"
"0","1","2",3,0,"0"
"0","0","0",18,55,"1"
"0","0","1",0,1,"1"
"1","0","2",199,185,"0"
"0","1","2",56,63,"0"
"0","0","0",0,0,"1"
"0","0","2",3,0,"0"
"0","0","0",93,77,"1"
"0","0","2",0,0,"1"
"0","1","2",70,89,"0"
"0","0","0",0,23,"1"
"0","0","0",0,0,"1"
"1","0","0",3,0,"0"
"1","0","2",0,0,"1"
"0","0","0",80,86,"1"
"0","0","0",12,5,"0"
"1","0","0",0,2,"0"
"0","0","0",0,5,"0"
"0","1","1",0,0,"0"
"1","0","0",96,91,"1"
"0","0","0",0,0,"1"
"0","0","0",0,0,"1"
"0","0","0",0,0,"0"
"0","1","2",57,52,"0"
"0","1","2",0,0,"0"
"0","1","1",0,0,"0"
"0","0","1",0,0,"1"
"0","0","0",0,0,"1"
"0","0","0",95,100,"0"
"0","0","0",0,0,"1"
"0","0","0",0,0,"1"
"1","0","2",11,6,"0"
"0","0","0",0,0,"1"
"0","1","2",27,54,"0"
"0","0","0",7,0,"1"
"1","0","2",3,24,"0"
"0","1","2",29,17,"0"
"1","0","2",0,0,"0"
"0","0","2",44,40,"0"
"0","0","0",35,36,"1"
"0","0","0",15,1,"1"
"0","1","2",6,24,"0"
"0","0","0",60,70,"0"
"0","0","2",141,139,"0"
"0","0","2",44,33,"0"
"0","0","0",44,92,"0"
"1","1","2",0,0,"1"
"1","0","0",0,0,"1"
"1","0","0",16,14,"0"
"0","0","0",0,0,"1"
"0","0","0",74,67,"1"
"0","0","0",1,0,"1"
"1","0","2",0,7,"0"
"0","0","0",0,0,"1"
"0","0","0",0,0,"1"
"0","1","2",0,0,"0"
"0","1","2",0,4,"0"
"0","0","0",172,163,"1"
"0","0","0",0,8,"0"
"0","0","0",0,0,"1"
"0","1","2",0,0,"0"
"0","0","2",16,6,"0"
"0","0","0",0,0,"1"
"1","0","0",0,0,"0"
"0","0","0",0,0,"1"
"0","0","0",0,0,"0"
"0","0","0",0,0,"1"
"0","1","2",0,0,"1"
"0","0","2",0,0,"0"
"0","1","2",0,0,"0"
"0","0","0",0,0,"1"
"0","0","0",63,52,"0"
"0","0","0",0,0,"1"
"0","0","0",19,21,"0"
"0","0","0",91,128,"1"
"0","0","0",6,0,"1"
"0","0","2",4,0,"1"
"0","0","0",0,21,"1"
"0","0","0",0,3,"1"
"1","0","2",0,0,"0"
"0","0","0",9,4,"1"
"0","1","2",175,180,"1"
"0","0","0",16,3,"1"
"0","0","2",24,1,"0"
"0","1","2",27,37,"0"
"0","0","0",7,23,"0"
"0","0","0",23,13,"1"
"0","1","2",11,5,"0"
"0","1","2",0,0,"0"
"0","1","1",0,0,"0"
"0","0","1",16,0,"1"
"0","0","0",3,0,"1"
"0","0","0",0,0,"0"
"0","0","0",0,0,"1"
"0","0","1",105,93,"0"
"0","1","2",0,0,"0"
"0","1","1",0,0,"0"
"0","1","2",0,0,"0"
"0","0","1",0,0,"0"
"0","0","0",0,8,"1"
"0","0","0",2,0,"1"
"0","1","0",143,121,"0"
"0","1","0",48,30,"0"
"0","1","2",0,6,"0"
"0","1","2",0,4,"0"
"0","1","1",0,33,"0"
"0","1","2",37,52,"0"
"0","1","2",0,9,"0"
"1","0","2",0,0,"0"
"0","0","2",27,17,"1"
"0","0","0",0,7,"1"
"0","1","2",0,0,"0"
"0","1","2",0,0,"0"
"1","0","2",1,2,"1"
"1","0","0",3,0,"1"
"0","0","0",0,0,"0"
"0","0","0",4,2,"1"
"1","0","0",0,3,"0"
"0","0","0",19,6,"0"
"0","1","2",31,22,"0"
"0","0","2",0,0,"0"
"0","0","0",5,0,"1"
"0","0","2",12,17,"0"
"0","0","0",0,0,"1"
"0","0","0",1,0,"1"
"1","0","2",16,9,"0"
"0","1","2",1,0,"0"
"0","1","2",0,0,"0"
"0","0","2",8,26,"0"
"0","0","0",0,0,"1"
"0","1","2",10,0,"1"
"1","0","2",0,0,"0"
"0","1","2",2,0,"0"
"0","0","0",0,0,"1"
"0","0","0",2,0,"1"
"0","0","0",47,45,"0"
"0","0","0",45,51,"1"
"1","0","2",105,105,"0"
"0","0","0",101,126,"1"
"1","0","0",1,0,"1"
"0","0","0",0,0,"1"
"0","0","0",9,56,"1"
"0","0","2",0,0,"1"
"1","0","0",0,0,"1"
"0","1","2",27,31,"0"
"0","0","1",118,100,"1"
"0","0","0",0,0,"1"
"0","0","2",0,0,"1"
"0","1","1",0,0,"0"
"0","0","0",18,18,"1"
"1","0","2",0,5,"0"
"1","0","2",5,0,"0"
"1","0","0",15,8,"0"
"0","1","2",0,0,"0"
"0","0","0",27,45,"0"
"0","0","0",26,27,"1"
"0","0","0",0,4,"1"
"0","1","2",45,40,"0"
"0","1","2",28,19,"0"
"0","0","0",0,0,"1"
"0","1","2",76,73,"0"
"0","1","2",0,10,"0"
"0","0","0",0,0,"1"
"0","0","0",0,0,"1"
"0","0","0",0,0,"1"
"0","0","0",0,0,"1"
"0","0","0",0,0,"1"
"0","0","0",0,0,"1"
"0","0","0",0,1,"1"
"1","0","2",0,0,"0"
"1","0","2",4,11,"0"
"1","1","2",3,4,"0"
"0","1","2",18,24,"0"
"0","1","2",4,0,"0"
"0","0","0",0,0,"1"
"0","1","1",0,6,"0"
"0","0","0",0,0,"1"
"0","1","2",13,5,"0"
"1","0","2",22,11,"0"
"0","0","0",0,0,"1"
"0","0","2",0,0,"1"
"0","0","0",220,212,"1"
"0","0","0",0,0,"1"
"0","0","0",18,14,"0"
"0","1","2",0,3,"0"
"1","0","0",0,0,"0"
"0","0","1",141,126,"0"
"0","0","2",1,0,"1"
"0","0","0",0,0,"1"
"0","0","0",9,0,"1"
"1","0","2",0,0,"0"
"1","0","0",0,8,"0"
"0","0","0",33,27,"1"
"0","0","2",0,0,"1"
"0","1","2",0,0,"0"
"0","1","2",18,18,"0"
"0","1","2",0,0,"0"
"1","0","2",0,3,"0"
"0","1","2",55,88,"0"
"0","0","1",0,4,"1"
"0","1","2",11,4,"0"
"0","1","1",0,0,"0"
"1","0","2",232,241,"0"
"1","0","0",0,30,"0"
"0","1","2",0,0,"1"
"1","0","2",0,0,"0"
"0","0","0",46,51,"1"
"0","1","2",0,0,"1"
"0","0","0",0,0,"1"
"0","0","0",170,172,"1"
"0","0","0",0,0,"0"
"1","0","2",15,15,"0"
"1","0","0",0,0,"1"
"1","0","2",17,4,"0"
"0","1","2",0,0,"1"
"0","0","0",0,0,"1"
"1","0","0",0,6,"0"
"0","0","0",25,12,"0"
"0","0","0",173,175,"1"
"0","0","1",38,23,"1"
"1","0","2",0,0,"0"
"1","0","0",0,0,"0"
"0","0","0",0,0,"1"
"1","0","2",52,44,"0"
"0","0","0",0,6,"1"
"0","0","0",124,111,"1"
"0","0","0",0,0,"1"
"0","0","0",7,16,"1"
"1","0","0",0,0,"1"
"0","0","0",0,0,"1"
"0","0","0",0,0,"1"
"0","0","0",0,0,"1"
"0","1","2",0,88,"0"
"0","0","0",27,61,"0"
"0","0","0",0,0,"0"
"0","1","2",0,3,"1"
"1","0","0",0,0,"1"
"0","1","1",30,13,"0"
"0","0","2",5,27,"0"
"0","0","2",93,99,"0"
"0","0","0",0,0,"1"
"0","0","0",0,0,"1"
"0","1","2",0,0,"1"
"0","0","2",0,0,"0"
"0","1","2",0,0,"0"
"0","1","2",0,0,"0"
"0","1","2",0,1,"0"
"0","1","2",112,111,"0"
"0","1","1",12,25,"0"
"0","0","0",40,42,"1"
"1","0","2",3,0,"1"
"0","0","0",0,0,"1"
"0","0","0",94,76,"1"
"0","1","2",0,0,"0"
"0","0","0",0,6,"1"
"1","0","0",0,0,"1"
"0","1","2",0,0,"0"
"1","0","2",0,0,"1"
"0","0","1",0,0,"1"
"0","1","2",0,5,"0"
"0","0","1",0,0,"0"
"1","0","2",0,6,"0"
"0","1","1",6,10,"0"
"1","0","0",0,0,"1"
"0","1","0",243,226,"1"
"0","0","0",0,0,"1"
"0","1","2",0,0,"0"
"0","0","0",0,0,"1"
"0","0","0",0,0,"0"
"0","0","2",0,0,"0"
"0","0","0",44,46,"0"
"0","0","0",0,0,"1"
"0","0","2",7,0,"0"
"0","0","0",128,131,"0"
"0","0","0",0,0,"1"
"0","1","2",24,12,"0"
"1","0","0",0,4,"1"
"1","0","0",0,0,"0"
"0","1","2",0,0,"0"
"0","0","0",2,0,"1"
"0","0","2",0,0,"1"
"0","0","0",16,10,"1"
"0","0","0",0,0,"1"
"0","0","2",0,6,"0"
"0","0","0",24,14,"0"
"1","0","0",15,1,"1"
"0","1","2",0,0,"0"
"1","0","0",11,33,"1"
"1","0","2",83,45,"0"
"0","0","2",0,0,"1"
"0","1","2",25,21,"0"
"0","0","0",0,0,"1"
"0","1","2",0,0,"0"
"0","1","1",92,100,"0"
"1","0","2",18,5,"0"
"0","0","0",0,4,"1"
"0","0","2",18,2,"0"
"0","1","1",49,31,"0"
"0","0","0",7,15,"1"
"1","0","2",0,0,"0"
"1","0","0",0,0,"0"
"1","0","0",0,0,"0"
"0","1","2",270,260,"0"
"0","0","1",49,56,"0"
"0","0","0",17,32,"1"
"0","1","2",0,7,"0"
"0","0","0",0,6,"1"
"1","1","2",4,0,"1"
"0","0","0",9,0,"1"
"0","0","0",0,0,"0"
"0","1","2",37,22,"0"
"0","0","0",2,0,"0"
"0","0","0",0,5,"1"
"0","1","2",6,0,"0"
"0","0","0",10,0,"1"
"1","0","2",0,0,"0"
"0","0","0",90,86,"1"
"0","1","1",0,0,"0"
"0","0","2",0,0,"0"
"0","0","0",0,0,"1"
"0","0","1",28,20,"0"
"0","0","2",0,0,"1"
"0","1","2",110,92,"0"
"1","0","2",0,6,"0"
"1","0","2",2,26,"0"
"0","1","2",0,0,"0"
"1","0","1",0,0,"0"
"0","0","0",0,0,"1"
"0","1","0",8,1,"0"
"0","0","1",0,0,"0"
"0","0","0",11,11,"1"
"0","1","2",0,0,"0"
"0","1","2",0,0,"0"
"0","1","2",0,0,"0"
"0","1","2",0,0,"0"
"0","0","0",2,0,"1"
"0","0","0",0,5,"0"
"0","0","2",0,0,"1"
"0","0","0",0,3,"0"
"0","1","2",0,0,"0"
"1","0","0",4,0,"1"
"1","0","2",2,9,"0"
"0","0","0",0,0,"1"
"1","0","2",5,6,"0"
"0","1","2",0,0,"0"
"0","1","2",0,26,"0"
"0","0","0",6,0,"1"
"0","0","0",0,0,"1"
"0","0","0",0,0,"1"
"0","0","2",0,0,"0"
"0","0","2",0,0,"1"
"0","0","0",6,0,"1"
"0","0","0",0,0,"0"
"0","1","2",5,0,"0"
"0","0","0",0,0,"1"
"0","0","1",0,0,"1"
"0","1","1",31,27,"0"
"0","0","0",0,0,"0"
"0","0","0",4,19,"1"
"0","0","2",3,0,"1"
"0","1","2",1,0,"0"
"0","0","0",0,0,"0"
"1","0","2",0,0,"1"
"0","1","1",25,16,"0"
"1","0","2",1,33,"0"
"0","1","1",0,0,"0"
"0","0","0",0,0,"1"
"0","1","2",0,0,"0"
"0","0","0",0,33,"0"
"1","0","2",0,0,"0"
"0","0","1",9,0,"1"
"0","1","2",20,5,"0"
"0","0","2",10,0,"1"
"0","0","2",50,69,"0"
"0","0","0",0,0,"1"
"0","0","0",0,0,"1"
"0","0","0",0,5,"1"
"0","0","0",0,0,"0"
"0","0","0",54,49,"0"
"1","0","2",4,26,"0"
"1","0","0",8,0,"1"
"0","0","0",0,0,"1"
"0","1","2",0,0,"0"
"0","0","0",0,0,"1"
"0","0","0",0,0,"0"
"0","1","2",2,0,"0"
"1","0","0",0,0,"0"
"1","0","2",0,45,"0"
"0","1","2",0,0,"0"
"0","0","0",7,27,"1"
"1","0","2",2,0,"0"
"1","0","2",144,142,"0"
"0","1","2",0,0,"0"
"0","0","0",0,2,"0"
"0","0","2",39,58,"1"
"0","0","2",0,0,"1"
"0","1","2",4,1,"0"
"0","0","2",112,100,"0"
"0","0","0",0,0,"1"
"0","1","2",20,8,"0"
"0","0","0",0,0,"1"
"0","0","0",0,0,"1"
"1","0","2",0,3,"0"
"1","0","0",0,0,"0"
"0","0","1",63,75,"1"
"0","1","2",0,0,"0"
"0","0","0",0,0,"1"
"0","0","2",0,0,"1"
"0","0","0",56,61,"1"
"1","0","0",0,0,"1"
"0","0","2",0,0,"1"
"0","1","0",2,0,"0"
"0","0","2",35,27,"1"
"0","0","0",19,23,"1"
"0","1","2",36,38,"0"
"0","0","0",12,6,"1"
"0","0","0",31,33,"1"
"1","0","0",0,0,"0"
"0","0","0",0,0,"0"
"0","1","2",29,22,"0"
"0","0","0",0,5,"0"
"1","0","2",0,0,"0"
"0","0","0",0,0,"1"
"0","0","1",55,34,"0"
"0","0","0",4,3,"1"
"0","1","2",1,0,"0"
"0","0","0",0,0,"1"
"0","1","2",0,0,"0"
"1","0","2",71,66,"0"
"0","0","1",118,100,"1"
"0","0","0",0,14,"1"
"0","1","2",0,0,"0"
"0","0","0",3,12,"1"
"1","0","0",0,0,"0"
"0","0","0",0,0,"1"
"0","0","0",0,0,"1"
"0","1","2",0,0,"0"
"1","0","0",1,0,"0"
"0","0","0",0,0,"1"
"0","1","1",11,7,"0"
"0","0","0",0,0,"1"
"0","0","0",13,18,"1"
"0","0","0",0,0,"1"
"0","1","2",0,0,"0"
"0","1","2",0,2,"0"
"0","1","2",46,39,"0"
"1","0","0",20,1,"0"
"0","1","2",0,0,"0"
"0","0","0",0,0,"1"
"0","1","2",31,22,"0"
"0","1","2",56,56,"0"
"0","1","2",53,36,"0"
"0","0","2",27,20,"1"
"0","0","0",0,0,"1"
"0","0","2",0,0,"1"
"0","1","2",0,0,"0"
"0","0","0",0,0,"1"
"0","0","0",0,12,"0"
"0","1","2",113,103,"0"
"0","0","2",0,0,"1"
"0","0","0",25,13,"1"
"0","1","2",1,13,"0"
"0","1","2",2,0,"0"
"0","1","2",30,55,"0"
"1","0","2",5,1,"0"
"0","1","2",67,93,"0"
"0","1","2",37,46,"0"
"0","0","2",94,86,"0"
"0","0","0",8,0,"1"
"0","0","1",0,0,"0"
"0","1","2",0,0,"0"
"0","0","0",0,0,"0"
"0","0","0",1,8,"1"
"0","1","2",0,0,"0"
"0","0","0",3,4,"1"
"0","0","0",13,44,"1"
"0","0","0",0,0,"1"
"1","0","2",0,0,"0"
"0","0","0",0,0,"1"
"0","0","2",25,27,"0"
"0","1","2",8,1,"0"
"0","1","2",0,0,"0"
"0","0","0",0,0,"0"
"0","1","2",28,31,"0"
"0","1","2",0,0,"0"
"0","1","2",10,20,"0"
"0","1","2",0,44,"0"
"0","1","2",0,0,"0"
"1","0","0",8,0,"1"
"0","0","0",0,3,"1"
"0","1","2",29,17,"0"
"0","0","2",0,0,"1"
"0","0","2",0,0,"1"
"0","0","0",0,0,"1"
"0","0","2",315,307,"0"
"0","0","0",0,0,"0"
"0","0","0",0,0,"1"
"0","1","2",0,0,"0"
"0","1","2",0,0,"0"
"0","0","0",0,0,"1"
"0","0","0",158,156,"0"
"0","0","1",0,3,"0"
"0","1","1",0,0,"0"
"0","0","0",0,0,"0"
"0","1","2",2,0,"0"
"1","0","2",0,0,"0"
"0","0","2",0,25,"1"
"0","1","2",0,0,"0"
"1","0","0",6,2,"0"
"0","0","0",0,0,"1"
"0","0","0",19,19,"1"
"0","0","2",88,74,"1"
"0","0","0",0,0,"1"
"0","1","2",38,2,"0"
"0","0","2",0,7,"1"
"0","0","0",0,0,"0"
"0","1","2",1,0,"0"
"0","0","1",0,0,"0"
"0","1","2",80,76,"0"
"0","0","2",65,91,"0"
"0","1","2",0,0,"0"
"0","1","2",0,9,"0"
"0","0","2",0,0,"1"
"0","1","2",0,0,"1"
"1","0","0",0,0,"1"
